id,filename,uri,comment
1,imdb_ijs_movies.csv,https://relational.fit.cvut.cz/dataset/IMDb
17,imdb_ijs_movies_genres.csv,https://relational.fit.cvut.cz/dataset/IMDb
18,imdb_ijs_directors_movies.csv,https://relational.fit.cvut.cz/dataset/IMDb
19,imdb_ijs_roles.csv,https://relational.fit.cvut.cz/dataset/IMDb
20,genes_classification.csv,https://relational.fit.cvut.cz/dataset/Genes
21,genes_genes.csv,https://relational.fit.cvut.cz/dataset/Genes
22,genes_interactions.csv,https://relational.fit.cvut.cz/dataset/Genes
23,pte_active.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
24,pte_postestactive.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
25,pte_postestactive_neg.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
26,pte_active_active.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
27,pte_alcohol.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
28,pte_alkyl_halide.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
29,pte_ames.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
30,pte_amine.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
31,pte_atm.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
32,pte_atm_bound_count.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
33,pte_atm_count.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
34,pte_atm_max_charge.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
35,pte_atm_min_charge.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
36,pte_bound.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
37,pte_bound_cnt.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
38,pte_drug.csv,https://relational.fit.cvut.cz/assets/img/datasets-generated/PTE.svg
